,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
68,0.1,0.08,12,15.0,9,40.75,2.4085900000000002,Snaking_E1_0_E2_1_Fric_3_load_3.tif
69,0.1,0.08,14,15.0,10,42.98,4.01736,Snaking_E1_0_E2_1_Fric_3_load_4.tif
70,0.1,0.08,6,20.0,8,16.78,0.689971,Snaking_E1_0_E2_1_Fric_4_load_0.tif
71,0.1,0.08,8,20.0,8,28.72,1.7879099999999999,Snaking_E1_0_E2_1_Fric_4_load_1.tif
72,0.1,0.08,10,20.0,8,36.48,3.47594,Snaking_E1_0_E2_1_Fric_4_load_2.tif
73,0.1,0.08,12,20.0,10,36.91,1.70396,Snaking_E1_0_E2_1_Fric_4_load_3.tif
74,0.1,0.08,14,20.0,11,43.95,6.0216199999999995,Snaking_E1_0_E2_1_Fric_4_load_4.tif
75,0.1,0.08,6,25.0,7,14.35,1.19013,Snaking_E1_0_E2_1_Fric_5_load_0.tif
76,0.1,0.08,8,25.0,9,28.68,1.77564,Snaking_E1_0_E2_1_Fric_5_load_1.tif
77,0.1,0.08,10,25.0,8,34.93,2.72667,Snaking_E1_0_E2_1_Fric_5_load_2.tif
78,0.1,0.08,12,25.0,10,39.16,2.87465,Snaking_E1_0_E2_1_Fric_5_load_3.tif
79,0.1,0.08,14,25.0,9,46.15,5.3526,Snaking_E1_0_E2_1_Fric_5_load_4.tif
80,0.1,0.08,6,30.0,7,14.85,1.10648,Snaking_E1_0_E2_1_Fric_6_load_0.tif
81,0.1,0.08,8,30.0,8,32.75,2.20988,Snaking_E1_0_E2_1_Fric_6_load_1.tif
82,0.1,0.08,10,30.0,9,35.94,2.88278,Snaking_E1_0_E2_1_Fric_6_load_2.tif
83,0.1,0.08,12,30.0,11,40.26,3.28009,Snaking_E1_0_E2_1_Fric_6_load_3.tif
84,0.1,0.08,14,30.0,10,43.95,2.8937,Snaking_E1_0_E2_1_Fric_6_load_4.tif
85,0.1,0.08,6,35.0,7,14.32,1.06186,Snaking_E1_0_E2_1_Fric_7_load_0.tif
86,0.1,0.08,8,35.0,9,29.68,1.88463,Snaking_E1_0_E2_1_Fric_7_load_1.tif
87,0.1,0.08,10,35.0,8,35.29,3.3363300000000002,Snaking_E1_0_E2_1_Fric_7_load_2.tif
88,0.1,0.08,12,35.0,11,40.87,2.3023,Snaking_E1_0_E2_1_Fric_7_load_3.tif
89,0.1,0.08,14,35.0,8,43.59,3.05252,Snaking_E1_0_E2_1_Fric_7_load_4.tif
90,0.1,0.08,6,40.0,6,11.9,1.03118,Snaking_E1_0_E2_1_Fric_8_load_0.tif
91,0.1,0.08,8,40.0,7,27.53,2.20153,Snaking_E1_0_E2_1_Fric_8_load_1.tif
92,0.1,0.08,10,40.0,9,37.58,2.78537,Snaking_E1_0_E2_1_Fric_8_load_2.tif
93,0.1,0.08,12,40.0,9,40.6,2.2135700000000003,Snaking_E1_0_E2_1_Fric_8_load_3.tif
94,0.1,0.08,14,40.0,10,45.82,1.5204,Snaking_E1_0_E2_1_Fric_8_load_4.tif
95,0.1,0.08,6,45.0,7,14.87,1.53505,Snaking_E1_0_E2_1_Fric_9_load_0.tif
96,0.1,0.08,8,45.0,9,28.56,2.22217,Snaking_E1_0_E2_1_Fric_9_load_1.tif
97,0.1,0.08,10,45.0,9,32.85,2.49986,Snaking_E1_0_E2_1_Fric_9_load_2.tif
98,0.1,0.08,12,45.0,9,41.72,3.5253400000000004,Snaking_E1_0_E2_1_Fric_9_load_3.tif
99,0.1,0.08,14,45.0,10,46.64,4.80796,Snaking_E1_0_E2_1_Fric_9_load_4.tif
100,0.1,0.09,6,0.01,6,11.88,1.0079200000000001,Snaking_E1_0_E2_2_Fric_0_load_0.tif
101,0.1,0.09,8,0.01,8,32.77,2.2652400000000004,Snaking_E1_0_E2_2_Fric_0_load_1.tif
102,0.1,0.09,10,0.01,8,32.02,2.21735,Snaking_E1_0_E2_2_Fric_0_load_2.tif
103,0.1,0.09,12,0.01,8,40.48,2.4716099999999996,Snaking_E1_0_E2_2_Fric_0_load_3.tif
104,0.1,0.09,14,0.01,9,43.94,3.3075699999999997,Snaking_E1_0_E2_2_Fric_0_load_4.tif
105,0.1,0.09,6,5.0,6,12.85,1.20058,Snaking_E1_0_E2_2_Fric_1_load_0.tif
106,0.1,0.09,8,5.0,8,27.54,1.8557099999999997,Snaking_E1_0_E2_2_Fric_1_load_1.tif
107,0.1,0.09,10,5.0,9,35.46,2.9188400000000003,Snaking_E1_0_E2_2_Fric_1_load_2.tif
108,0.1,0.09,12,5.0,11,41.52,3.85066,Snaking_E1_0_E2_2_Fric_1_load_3.tif
109,0.1,0.09,14,5.0,12,44.27,4.04835,Snaking_E1_0_E2_2_Fric_1_load_4.tif
110,0.1,0.09,6,10.0,7,14.86,1.40639,Snaking_E1_0_E2_2_Fric_2_load_0.tif
111,0.1,0.09,8,10.0,7,25.79,1.93754,Snaking_E1_0_E2_2_Fric_2_load_1.tif
112,0.1,0.09,10,10.0,10,36.88,2.23081,Snaking_E1_0_E2_2_Fric_2_load_2.tif
113,0.1,0.09,12,10.0,10,39.74,3.0451799999999998,Snaking_E1_0_E2_2_Fric_2_load_3.tif
114,0.1,0.09,14,10.0,9,43.61,2.50044,Snaking_E1_0_E2_2_Fric_2_load_4.tif
115,0.1,0.09,6,15.0,7,15.34,1.10822,Snaking_E1_0_E2_2_Fric_3_load_0.tif
116,0.1,0.09,8,15.0,9,28.55,1.63893,Snaking_E1_0_E2_2_Fric_3_load_1.tif
117,0.1,0.09,10,15.0,9,36.01,2.37413,Snaking_E1_0_E2_2_Fric_3_load_2.tif
118,0.1,0.09,12,15.0,10,42.28,3.44761,Snaking_E1_0_E2_2_Fric_3_load_3.tif
119,0.1,0.09,14,15.0,12,44.27,4.67206,Snaking_E1_0_E2_2_Fric_3_load_4.tif
120,0.1,0.09,6,20.0,7,13.75,0.596089,Snaking_E1_0_E2_2_Fric_4_load_0.tif
121,0.1,0.09,8,20.0,10,28.53,1.7780799999999999,Snaking_E1_0_E2_2_Fric_4_load_1.tif
122,0.1,0.09,10,20.0,10,33.91,2.32953,Snaking_E1_0_E2_2_Fric_4_load_2.tif
123,0.1,0.09,12,20.0,8,41.41,2.43452,Snaking_E1_0_E2_2_Fric_4_load_3.tif
124,0.1,0.09,14,20.0,10,43.53,2.94644,Snaking_E1_0_E2_2_Fric_4_load_4.tif
125,0.1,0.09,6,25.0,6,12.86,1.2201899999999999,Snaking_E1_0_E2_2_Fric_5_load_0.tif
126,0.1,0.09,8,25.0,7,24.97,2.12931,Snaking_E1_0_E2_2_Fric_5_load_1.tif
127,0.1,0.09,10,25.0,11,35.84,4.23051,Snaking_E1_0_E2_2_Fric_5_load_2.tif
128,0.1,0.09,12,25.0,9,37.75,3.62813,Snaking_E1_0_E2_2_Fric_5_load_3.tif
129,0.1,0.09,14,25.0,9,44.51,3.4157599999999997,Snaking_E1_0_E2_2_Fric_5_load_4.tif
130,0.1,0.09,6,30.0,6,11.85,0.9176219999999999,Snaking_E1_0_E2_2_Fric_6_load_0.tif
